complex                                                                              cdim    f-vector              faces    facets    pure    matroid    graph    pdim    codim    degree    m-vector         aED    pED    ML
[13,14,15,16,23,24,25,26,34,35]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       31        (39)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,34,35]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       36        (46)             N/A    N/A    N/A
[14,15,16,24,25,26,34,35,36]                                                         1       (1,6,9)               16       9         Y       Y          Y        54      9        20        (36)             N/A    N/A    N/A
[14,15,16,23,24,25,26,34,35,36]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       30        (40)             N/A    N/A    N/A
[13,14,15,16,23,24,25,26,34,35,36]                                                   1       (1,6,11)              18       11        Y       Y          Y        52      11       34        (48)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,26,34,35,36]                                                1       (1,6,12)              19       12        Y       Y          Y        51      12       39        (56)             N/A    N/A    N/A
[13,16,24,25,36,45]                                                                  1       (1,6,6)               13       6         Y       N          N        57      6        25        (10)             N/A    N/A    N/A
[13,15,16,24,25,36,45]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        28        (15,0,1)         N/A    N/A    N/A
[12,13,15,16,24,25,36,45]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        31        (21,1)           N/A    N/A    N/A
[13,15,16,23,24,25,36,45]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        31        (21,1)           N/A    N/A    N/A
[12,13,15,16,23,24,25,36,45]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        34        (28)             N/A    N/A    N/A
[14,15,16,23,24,25,36,45]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        31        (21,1)           N/A    N/A    N/A
[13,14,15,16,23,24,25,36,45]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        34        (28,2)           N/A    N/A    N/A
[12,14,15,24,25,36,45]                                                               1       (1,6,7)               14       7         Y       N          N        56      7        24        (17)             N/A    N/A    N/A
[12,13,14,15,24,25,36,45]                                                            1       (1,6,8)               15       8         Y       N          N        55      8        29        (22)             N/A    N/A    N/A
[12,13,14,15,16,24,25,36,45]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        35        (27,3)           N/A    N/A    N/A
[12,14,15,16,23,24,25,36,45]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        34        (28)             N/A    N/A    N/A
[12,13,14,15,23,24,25,36,45]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        32        (29)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       38        (35,1)           N/A    N/A    N/A
[12,15,16,23,24,25,34,36,45]                                                         1       (1,6,9)               16       9         Y       N          N        54      9        34        (28)             N/A    N/A    N/A
[12,13,15,16,23,24,25,34,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       37        (36)             N/A    N/A    N/A
[12,14,15,16,23,24,25,34,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       37        (36)             N/A    N/A    N/A
[12,13,14,15,23,24,25,34,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       35        (37)             N/A    N/A    N/A
[12,13,14,16,23,24,25,34,36,45]                                                      1       (1,6,10)              17       10        Y       N          N        53      10       37        (36)             N/A    N/A    N/A
[12,13,14,15,16,23,24,25,34,36,45]                                                   1       (1,6,11)              18       11        Y       N          N        52      11       41        (44)             N/A    N/A    N/A
